Resultsfromheasarc_fermigbrst:FermiGBMBurstCatalog
Coordinatesystem:Equatorial
|name|t90|t90_error|fluence|fluence_error|pflx_comp_epeak|pflx_comp_epeak_pos_err|pflx_comp_epeak_neg_err|pflx_comp_index|pflx_comp_index_pos_err|pflx_comp_index_neg_err|pflx_comp_pivot|pflx_comp_pivot_pos_err|pflx_comp_pivot_neg_err|pflx_comp_ergflux|pflx_comp_ergflux_error|
|GRB180211754|20.480|2.187|1.0560e-06|2.6302e-08|9.138764e+01|2.242710e+01|2.242710e+01|-5.521568e-01|5.880328e-01|5.880328e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.181948e-07|2.279917e-08|
|GRB141112828|63.745|2.919|2.1037e-06|3.6931e-08|8.242412e+01|9.237946e+00|9.237946e+00|-8.445901e-02|3.425081e-01|3.425081e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.399198e-07|2.287260e-08|
|GRB150723608|33.024|2.318|2.4539e-06|2.8152e-08|7.081065e+01|1.246918e+01|1.246918e+01|-1.041215e+00|4.123214e-01|4.123214e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.556117e-07|2.292734e-08|
|GRB170115662|120.320|4.871|5.6362e-06|4.2204e-08|7.723835e+01|8.826752e+00|8.826752e+00|-3.417194e-01|3.362114e-01|3.362114e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.467153e-07|2.300348e-08|
|GRB131028096|14.336|3.238|1.4565e-06|6.2039e-08|7.329296e+01|1.049740e+01|1.049740e+01|-2.119340e-01|6.115579e-01|6.115579e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.616647e-07|2.301762e-08|
|GRB090621185|106.754|14.373|1.0840e-05|2.1134e-07|1.576476e+01|4.891700e+01|4.891700e+01|-1.857988e+00|6.984343e-01|6.984343e-01|1.000000e+02|0.000000e+00|0.000000e+00|7.329278e-08|2.311946e-08|
|GRB120819048|66.304|1.379|1.3343e-06|3.2672e-08|7.983957e+01|1.105209e+01|1.105209e+01|-4.477327e-01|4.520623e-01|4.520623e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.857718e-07|2.324617e-08|
|GRB160919613|62.465|3.665|5.5262e-06|5.4458e-08|5.684042e+01|6.489548e+00|6.489548e+00|-4.588068e-01|4.256989e-01|4.256989e-01|1.000000e+02|0.000000e+00|0.000000e+00|2.130024e-07|2.324738e-08|
|GRB131018673|39.936|12.331|2.7298e-06|1.1750e-07|8.965618e+01|1.555598e+01|1.555598e+01|6.844270e-02|7.738008e-01|7.738008e-01|1.000000e+02|0.000000e+00|0.000000e+00|1.290692e-07|2.328835e-08|
|GRB171208733|2.624|0.810|8.4938e-07|3.8614e-08|5.961938e+01|5.777737e+00|5.777737e+00|-9.400641e-01|2.423778e-01|2.423778e-01|1.000000e+02|0.000000e+00|0.000000e+00|3.536884e-07|2.340714e-08|
|GRB130523198|5.376|0.923|2.7096e-06|3.0996e-08|6.194442e+01|3.032314e+00|3.032314e+00|-4.894550e-01|1.538149e-01|1.538149e-01|1.000000e+02|0.000000e+00|0.000000e+00|5.629224e-07|2.342750e-08|
